ClientID,NomClient,Sexe,Age,TrancheAge,Ville,Region,DateInscription,AncienneteJours,AncienneteAnnees,ClientType,TransactionID,DateVente,Annee,Mois,MoisNum,Trimestre,YearMonth,JourSemaine,EstWeekend,EstJourFerie,CategorieProduit,SousCategorie,Produit,Montant,Quantite,Remise,MontantRemise,MontantFinal,CoutAcquisition,Marge,ModePaiement,CanalVente,Recency,Frequency,Monetary,ScoreR,ScoreF,ScoreM,ScoreRFM,SegmentRFM,SegmentDetail,ActionRecommandee,Satisfaction,NPS,Commentaire,Campagne,CodePromo,PointsFidelite
CLT01848,"Chokri Chaabane",M,44,35-45,Tozeur,Sud,2023-10-27,50,0.1,Fidèle,TRX00000001,2023-12-16,2023,Décembre,12,Q4,2023-12,Samedi,Oui,Non,Jouets,Poupées,"Poupées 60",12905,3,0%,0,12905,1935.75,3226.25,Flouci,Téléphone,747,15,193575,1,4,5,145,EnSommeil,"Anciens clients actifs autrefois","Campagne de réactivation - Offre spéciale","Très insatisfait",8,,Soldes_été,PROMO38,1291
CLT03844,"Rami Gharbi",M,40,35-45,Bizerte,Nord,2022-11-30,863,2.4,Occasionnel,TRX00000002,2025-04-11,2025,Avril,4,Q2,2025-04,Vendredi,Non,Non,Alimentation,Légumes,"Légumes 2",1896.51,1,0%,0,1896.51,284.477,474.128,"Carte Bancaire","Site web",265,1,2463,3,1,1,311,ÀSurveiller,"Comportement mixte","Observation et segmentation affinée","Très insatisfait",8,"Livraison rapide",Soldes_été,,190
CLT00902,"Rim Masmoudi",F,69,65+,Siliana,Nord,2023-12-07,531,1.5,Régulier,TRX00000003,2025-05-21,2025,Mai,5,Q2,2025-05,Mercredi,Non,Non,Beauté,Parfum,"Parfum 79",7535.4,4,0%,0,7535.4,1130.31,1883.85,Virement,"Réseaux sociaux",225,10,66100,3,3,5,335,Fidèles,"Clients fidèles avec bon potentiel","Upselling et cross-selling",Neutre,6,,Nouvel_An,,754
CLT00448,"Jamel Dhraief",M,62,55-65,Ariana,"Grand Tunis",2022-10-30,4,0,Fidèle,TRX00000004,2022-11-03,2022,Novembre,11,Q4,2022-11,Jeudi,Non,Non,Électronique,Accessoires,"Accessoires 43",20999.94,2,0%,0,20999.94,3149.991,5249.985,D17,"Application mobile",1155,8,154128,1,2,5,125,Perdus,"Gros dépensiers inactifs","Win-back campaign - Offre aggressive",Insatisfait,0,,Fête_des_mères,,2100
CLT00674,"Lotfi Lahmar",M,27,25-35,Kasserine,Centre,2020-02-15,1453,4,Fidèle,TRX00000005,2024-02-07,2024,Février,2,Q1,2024-02,Mercredi,Non,Non,Électronique,Smartphone,"Smartphone 1",9912.36,1,0%,0,9912.36,1486.854,2478.09,"Carte Bancaire",Téléphone,694,10,97180,1,3,5,135,EnSommeil,"Anciens clients actifs autrefois","Campagne de réactivation - Offre spéciale",Neutre,10,,Fête_des_mères,,991
CLT04199,"Lina Lahmar",F,18,18-25,Ariana,"Grand Tunis",2022-01-12,781,2.1,Fidèle,TRX00000006,2024-03-03,2024,Mars,3,Q1,2024-03,Dimanche,Oui,Non,Alimentation,Poisson,"Poisson 12",9140.08,2,0%,0,9140.08,1371.012,2285.02,Espèces,"Application mobile",669,15,159420,1,4,5,145,EnSommeil,"Anciens clients actifs autrefois","Campagne de réactivation - Offre spéciale",Neutre,10,,Ramadan,,914
CLT02051,"Moez Bouaziz",M,28,25-35,Gabès,Sud,2020-02-12,1549,4.2,Occasionnel,TRX00000007,2024-05-10,2024,Mai,5,Q2,2024-05,Vendredi,Non,Non,Sport,Natation,"Natation 77",4647.24,3,0%,0,4647.24,697.086,1161.81,"Paiement à la livraison","Site web",601,3,12909,1,1,2,112,Fuyants,"Clients peu engagés","Analyse besoins ou abandon","Très satisfait",4,"Attente longue",,,465
CLT02099,"Youssef Chaari",M,21,18-25,Manouba,"Grand Tunis",2022-01-09,350,1,Régulier,TRX00000008,2022-12-25,2022,Décembre,12,Q4,2022-12,Dimanche,Oui,Non,Électronique,Accessoires,"Accessoires 17",8572.7,1,0%,0,8572.7,1285.905,2143.175,"Carte Bancaire",Téléphone,1103,8,58120,1,2,5,125,Perdus,"Gros dépensiers inactifs","Win-back campaign - Offre aggressive","Très satisfait",5,,,,857
CLT04900,"Nour Mejri",F,73,65+,Siliana,Nord,2020-11-10,1540,4.2,Régulier,TRX00000009,2025-01-28,2025,Janvier,1,Q1,2025-01,Mardi,Non,Non,Maison,Jardin,"Jardin 80",4856.32,3,0%,0,4856.32,728.448,1214.08,Flouci,"Site web",338,8,34688,2,2,4,224,Perdus,"Gros dépensiers inactifs","Win-back campaign - Offre aggressive","Très satisfait",2,,,,486
CLT01814,"Kaouther Mejri",F,72,65+,Gafsa,Sud,2021-09-13,973,2.7,VIP,TRX00000010,2024-05-13,2024,Mai,5,Q2,2024-05,Lundi,Non,Non,Sport,Vélos,"Vélos 62",41665.68,1,0%,0,41665.68,6249.852,10416.42,"Carte Bancaire","Site web",598,50,2125800,1,5,5,155,EnSommeil,"Anciens clients actifs autrefois","Campagne de réactivation - Offre spéciale","Très insatisfait",0,,Black_Friday,,4167
